Input Business Name,Input Phone,Input Address,API Name,API Phone,API Address,Name Match,Address Match,Phone Match,Name Similarity,Address Similarity,Phone Similarity,Overall NAP Status
John D Wood & Co. Estate Agents Beckenham,+44 20 8196 9935,"60 High Street, Beckenham, USA",John D Wood & Co. Estate Agents Beckenham,020 8196 9935,"60 High St, Beckenham BR3 1AY, UK",Yes,No,Yes,1.0,0.746,1.0,PARTIAL - Name & Phone match (Address different)
Tandoor Mangalore,+91 77606 09090,"Jail Road, Mangaluru, USA",Tandoor Mangalore,077606 09090,"Jail Rd, Boloor, Kodailbail, Mangaluru, Karnataka 575003, India",Yes,No,Yes,1.0,0.5,1.0,PARTIAL - Name & Phone match (Address different)
another round,+1 214-233-6316,"660 Fort Worth Avenue Suite 100, Dallas, USA",another round,(214) 233-6316,"660 Fort Worth Ave Suite 100, Dallas, TX 75208, USA",Yes,Yes,Yes,1.0,0.875,1.0,SUCCESS - All NAP data matches
Kal Tire,+1 306-242-5050,"111 Idylwyld Dr N, Saskatoon, USA",Kal Tire,(306) 242-5050,"111 Idylwyld Dr N, Saskatoon, SK S7L 0Y6, Canada",Yes,No,Yes,1.0,0.789,1.0,PARTIAL - Name & Phone match (Address different)
alpha test,nan,USA,UES,(972) 620-8911,"2209 Wisconsin St, Dallas, TX 75229, USA",No,Yes,No,0.308,1.0,0.0,FAIL - Significant NAP inconsistencies
Adventure Aquarium - Test by Ganesh,+1 844-474-3474,"1 Riverside Drive, Camden, USA",,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Village Family Chiro LLC: Fedich James R DC,+1 732-462-6688,"1500 County Rd 517 Suite 105, Allamuchy Township, USA",Village Family Chiro LLC: Fedich James R DC,(908) 813-8200,"1500 County Rd 517 Suite 105, Allamuchy Township, NJ 07820, USA",Yes,Yes,No,1.0,0.919,0.0,SUCCESS - Name & Address match (Phone missing/different)
AdaptiveRx (formerly Pure Health Services),+1 908-754-6888,"280 NJ-35 #204, Red Bank, USA",AdaptiveRx (formerly Pure Health Services),(732) 747-0083,"280 NJ-35 #204, Red Bank, NJ 07701, USA",Yes,Yes,No,1.0,0.852,0.0,SUCCESS - Name & Address match (Phone missing/different)
Flourishing Family Chiropractic,+1 732-583-0600,"68 Washington St, Clark, USA",Flourishing Family Chiropractic,(908) 653-0000,"68 Washington St, Clark, NJ 07066, USA",Yes,Yes,No,1.0,0.852,0.0,SUCCESS - Name & Address match (Phone missing/different)
Next Level Chiropractic and Nutrition,+1 732-389-8000,"40 Broad St SUITE 101, Eatontown, USA",Next Level Chiropractic and Nutrition,(732) 389-8000,"40 Broad St SUITE 101, Eatontown, NJ 07724, USA",Yes,Yes,Yes,1.0,0.886,1.0,SUCCESS - All NAP data matches
King George Chiropractic,+1 732-389-8000,"309 Rock Ave, Green Brook Township, USA",King George Chiropractic,(732) 968-3900,"309 Rock Ave, Green Brook Township, NJ 08812, USA",Yes,Yes,No,1.0,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Deitch Family Chiropractic & Wellness Center,+1 908-967-4676,"50 Princeton Hightstown Rd, Princeton Junction, USA",Deitch Family Chiropractic & Wellness Center,(609) 897-1200,"50 Princeton Hightstown Rd, Princeton Junction, NJ 08550, USA",Yes,Yes,No,1.0,0.916,0.0,SUCCESS - Name & Address match (Phone missing/different)
Chiropractic Wellness Center of Baltimore,+1 732-704-3459,"8100 Sandpiper Cir STE 102, Nottingham, USA",Chiropractic Wellness Center of Baltimore,(410) 529-8010,"8100 Sandpiper Cir STE 102, Nottingham, MD 21236, USA",Yes,Yes,No,1.0,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Align Chiropractic and Wellness Center,+1 908-967-4676,"1801 E 2nd St, Scotch Plains, USA",Align Chiropractic and Wellness Center,(908) 967-4676,"1801 E 2nd St, Scotch Plains, NJ 07076, USA",Yes,Yes,Yes,1.0,0.873,1.0,SUCCESS - All NAP data matches
"Ty Cobb Services, Inc.",7723885966,"13210 81st St, Fellsmere, USA",Ty Cobb Services Inc,(772) 388-5966,"13210 81st St, Fellsmere, FL 32948, USA",Yes,Yes,Yes,1.0,0.857,1.0,SUCCESS - All NAP data matches
Integrative testpractic Center,+1 908-272-4011,USA,"Integrative Health Practices, LLC",(410) 648-2555,"9501 Old Annapolis Rd Suite 205, Ellicott City, MD 21042, USA",No,Yes,No,0.71,1.0,0.0,FAIL - Significant NAP inconsistencies
Grunstein Family testpractic Center,+1 609-200-3690,USA,Grunstein Family Chiropractic Center,(973) 640-0760,"340 E Northfield Rd # 2E, Livingston, NJ 07039, USA",Yes,Yes,No,0.873,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Rick Caban,+1 718-275-1316,USA,Rick Caban,(732) 972-6010,"186 County Rte 520 #1, Morganville, NJ 07751, USA",Yes,Yes,No,1.0,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
New Providence testpractic,+1 908-547-0729,USA,New Providence,,"New Providence, NJ, USA",Yes,Yes,No,0.7,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
SuperFast Kitchen & Bath – Grand Junction,+1 970-200-2140,"751 Horizon Court #115, Grand Junction, USA",SuperFast Kitchen & Bath – Grand Junction,(970) 200-2140,"751 Horizon Ct #115, Grand Junction, CO 81506, USA",Yes,Yes,Yes,1.0,0.86,1.0,SUCCESS - All NAP data matches
Saskatoon Inn & Conference Centre,+1 306-242-1440,"2002 Airport Drive, Saskatoon, USA",Saskatoon Inn & Conference Centre,(306) 242-1440,"2002 Airport Dr, Saskatoon, SK S7L 6M4, Canada",Yes,No,Yes,1.0,0.747,1.0,PARTIAL - Name & Phone match (Address different)
Chiropractic Approach,+1 718-275-1313,"95-08 Queens Blvd, Rego Park, USA",Chiropractic Approach,(718) 275-1313,"95-08 Queens Blvd, Rego Park, NY 11374, USA",Yes,Yes,Yes,1.0,0.873,1.0,SUCCESS - All NAP data matches
Back In Action Chiropractic,+1 609-434-0318,"1330 Parkway Ave #11, Ewing Township, USA",Back In Action Chiropractic,(609) 434-0318,"1330 Parkway Ave #11, Ewing Township, NJ 08628, USA",Yes,Yes,Yes,1.0,0.894,1.0,SUCCESS - All NAP data matches
Atlas Chiropractic Wellness Center,+1 201-250-6122,"106 Center St, Garwood, USA",Atlas Chiropractic Wellness Center,(201) 250-6122,"106 Center St, Garwood, NJ 07027, USA",Yes,Yes,Yes,1.0,0.847,1.0,SUCCESS - All NAP data matches
Multiplaza,+503 2507 9800,"Carretera Panamericana, San Salvador, USA",Multiplaza,2507 9800,"Carr. Panamericana, San Salvador, El Salvador",Yes,No,Yes,1.0,0.815,0.9,PARTIAL - Name & Phone match (Address different)
The Mortgage Group: Lori Emde,+1 306-222-4311,"1106 8 Street East, Saskatoon, USA",The Mortgage Group: Lori Emde,(306) 222-4311,"1106 8 St E, Saskatoon, SK S7H 0S4, Canada",Yes,No,Yes,1.0,0.676,1.0,PARTIAL - Name & Phone match (Address different)
John D Wood & Co. Estate Agents Docklands & City,+44 20 3369 0614,"37b Millharbour Unit 2, London, USA",John D Wood & Co. Estate Agents Docklands & City,020 3369 0614,"Unit 2, 37b Millharbour, London E14 9TX, UK",Yes,No,Yes,1.0,0.667,1.0,PARTIAL - Name & Phone match (Address different)
Quality of Life Chiropractic Center,+1 732-704-3459,"44 Monmouth Rd, Eatontown, USA",Quality of Life Chiropractic Center,(732) 704-3459,"44 Monmouth Rd, Eatontown, NJ 07724, USA",Yes,Yes,Yes,1.0,0.862,1.0,SUCCESS - All NAP data matches
Christopher Spinella,+1 732-462-0049,"420 NJ-34 Suite 331, Colts Neck, USA",Christopher Spinella,(732) 462-0049,"420 NJ-34 Suite 331, Colts Neck, NJ 07722, USA",Yes,Yes,Yes,1.0,0.883,1.0,SUCCESS - All NAP data matches
alpha test,nan,USA,UES,(972) 620-8911,"2209 Wisconsin St, Dallas, TX 75229, USA",No,Yes,No,0.308,1.0,0.0,FAIL - Significant NAP inconsistencies
Don't delete without contacting dallas,+1 306-242-5411,"119 33rd Street West, Saskatoon, USA",,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Learn Physics with Niranjan,9972583259,"Kuriyala Padu House, Mangalore, USA",VIVIDYA Mangalore - Coaching for NEET & JEE in Mangalore,098199 81671,"2nd Floor, Yenepoya Mall, Kadri Rd, near Mangala Kidney Foundation, Mallikatte, Kadri, Mangaluru, Karnataka 575002, India",No,No,No,0.228,0.219,0.0,FAIL - Significant NAP inconsistencies
Dr. Java's Coffee House Saskatoon,nan,USA,Dr. Java's Coffee House Saskatoon,(306) 952-0770,"100 2 Ave S #1, Saskatoon, SK S7K 1K5, Canada",Yes,No,No,1.0,0.091,0.0,PARTIAL - Only Name matches
West Park Chiropractic Ctr.,+1 732-661-0330,"257 Monmouth Rd Suite 5 Bldg B, Oakhurst, USA",West Park Chiropractic Ctr.,(732) 517-1090,"257 Monmouth Rd Suite 5 Bldg B, Oakhurst, NJ 07755, USA",Yes,Yes,No,1.0,0.905,0.0,SUCCESS - Name & Address match (Phone missing/different)
Active Release and Chiropractic Center: Dr. Anthony Criscuolo  DC,+1 732-280-1800,"3350 NJ-138 Building 2 Suite 227, Wall Township, USA","Active Release and Chiropractic Center: Dr. Anthony Criscuolo, DC",(732) 280-1800,"3350 NJ-138 Building 2 Suite 227, Wall Township, NJ 07719, USA",Yes,Yes,Yes,1.0,0.917,1.0,SUCCESS - All NAP data matches
About You Chiropractic,+1 732-583-0600,"245 Main St Suite 2M, Matawan, USA",About You Chiropractic,(732) 583-0600,"245 Main St Suite 2M, Matawan, NJ 07747, USA",Yes,Yes,Yes,1.0,0.877,1.0,SUCCESS - All NAP data matches
Chiropractic Orthopedic Associates,+1 732-462-6687,"3499 US-9 Ste 2B, Freehold, USA",Chiropractic Orthopedic Associates,(732) 431-1126,"3499 US-9 Ste 2B, Freehold, NJ 07728, USA",Yes,Yes,No,1.0,0.866,0.0,SUCCESS - Name & Address match (Phone missing/different)
Limitless Spine and Joint Care (Formerly Sadon Chiropractic & Rehabilitation Center),+1 732-574-2228,"186 County Rte 520 #1, Morganville, USA",Limitless Spine and Joint Care (Formerly Sadon Chiropractic & Rehabilitation Center),(732) 972-6010,"186 County Rte 520 #1, Morganville, NJ 07751, USA",Yes,Yes,No,1.0,0.889,0.0,SUCCESS - Name & Address match (Phone missing/different)
Advanced testpractic Center of Woodbridge  INC,+1 732-634-5155,USA,"Advanced Chiropractic Center of Woodbridge, INC",(732) 634-5155,"415 Avenel St, Avenel, NJ 07001, USA",Yes,Yes,Yes,0.901,1.0,1.0,SUCCESS - All NAP data matches
testpractic Approach,+1 718-275-1313,USA,AJ Tutoring,(925) 278-6311,"901 Moraga Rd C, Lafayette, CA 94549, USA",No,Yes,No,0.258,1.0,0.0,FAIL - Significant NAP inconsistencies
Quality of Life testpractic Center,+1 732-704-3459,USA,Quality of Life Medical Center,(520) 733-2250,"5350 E Erickson Dr, Tucson, AZ 85712, USA",Yes,Yes,No,0.812,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Get Adjusted testpractic PC,+1 609-448-6741,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
testpractic Naturally  PC,+1 732-704-3459,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Pat Drinke Mall,3064722345,"123 Manin St, Carlyle, USA",,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
KPAI,3052276000,"7950 NW 53rd St Ste 337, Miami, USA",,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
"4.0 Air, Inc",9549984022,"2200 N Commerce Pkwy Ste 200, Weston, USA",AIR BY US,(954) 881-2665,"2950 Glades Cir STE 20, Weston, FL 33327, USA",No,No,No,0.4,0.593,0.0,FAIL - Significant NAP inconsistencies
Chiropractic Naturally  PC,+1 732-704-3459,"740 NJ-34 Suite D, Matawan, USA","Chiropractic Naturally, PC",(732) 583-8358,"740 NJ-34 Suite D, Matawan, NJ 07747, USA",Yes,Yes,No,1.0,0.866,0.0,SUCCESS - Name & Address match (Phone missing/different)
Jersey Spine And Wellness,+1 908-272-4010,"35 Beaverson Blvd B, Brick Township, USA",Jersey Spine And Wellness,(732) 255-1910,"35 Beaverson Blvd B, Brick Township, NJ 08723, USA",Yes,Yes,No,1.0,0.894,0.0,SUCCESS - Name & Address match (Phone missing/different)
Dairy Farm Nature Park,+65 1800 471 7300,"100 Dairy Farm Road, Singapore, USA",Dairy Farm Nature Park,1800 471 7300,"100 Dairy Farm Rd, Singapore 679057",Yes,No,Yes,1.0,0.836,1.0,PARTIAL - Name & Phone match (Address different)
Atlas Gentle Effective Chiropractic LLC,+1 732-462-6686,"124 W Main St, Freehold, USA",Atlas Gentle Effective Chiropractic LLC,(732) 462-6686,"124 W Main St, Freehold, NJ 07728, USA",Yes,Yes,Yes,1.0,0.852,1.0,SUCCESS - All NAP data matches
SAMS MAHAL,nan,"Redhills - Thiruvallur High Road, Chennai, USA",SAMS MAHAL,,"Redhills - Thiruvallur High Rd, Red Hills, Chennai, Attanthangal, Tamil Nadu 600052, India",Yes,No,No,1.0,0.667,0.0,PARTIAL - Only Name matches
TRUE CHIROPRACTIC,+1 732-280-1800,"913 NJ-23 Suite 101, Pompton Plains, USA",TRUE CHIROPRACTIC,(973) 835-9322,"913 NJ-23 Suite 101, Pompton Plains, NJ 07444, USA",Yes,Yes,No,1.0,0.894,0.0,SUCCESS - Name & Address match (Phone missing/different)
Home Care Chiropractic,+1 732-583-0600,"Main St, Bridgewater, USA",Home Care Chiropractic,,"Main St, Bridgewater, NJ 08807, USA",Yes,Yes,No,1.0,0.836,0.0,SUCCESS - Name & Address match (Phone missing/different)
Core Wellness,+1 908-967-4676,"150-07 Bayside Ave #1FL, Flushing, USA",Core Wellness,(929) 200-8882,"150-07 Bayside Ave #1FL, Flushing, NY 11354, USA",Yes,Yes,No,1.0,0.886,0.0,SUCCESS - Name & Address match (Phone missing/different)
alpha test,nan,USA,UES,(972) 620-8911,"2209 Wisconsin St, Dallas, TX 75229, USA",No,Yes,No,0.308,1.0,0.0,FAIL - Significant NAP inconsistencies
TRUE testPRACTIC,+1 732-280-1800,USA,TrueTest Labs,(847) 258-3966,"2256 Landmeier Rd # A, Elk Grove Village, IL 60007, USA",No,Yes,No,0.621,1.0,0.0,FAIL - Significant NAP inconsistencies
First Care testpractic - Perth Amboy,+1 908-754-6888,USA,First Care Chiropractic - Perth Amboy,(848) 203-3280,"511 New Brunswick Ave, Perth Amboy, NJ 08861, USA",Yes,Yes,No,0.87,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Bongiovi testpractic Center,+1 732-574-2225,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
K-Joy,+1 306-869-5678,"768 Saskatoon, Saskatoon, USA",,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Ben's Stupid Store For Stupid Stuff,306 855 7874,"3310 8th St E, Saskatoon, USA",,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Weblee (PLEASE DONT DELETE THIS ),+91 99999 99999,"This is the new address, Weblee, USA",Weblee Technologies,098830 34134,"DB-37 Shastri Bagan Deshbandhu Nagar Baguiati Kolkata 700059,, Sastribagan, Desh Bandhu Nagar, Baguiati, Kolkata, West Bengal 700059, India",No,No,No,0.49,0.205,0.0,FAIL - Significant NAP inconsistencies
Don't delete without contacting dallas,+1 306-242-5411,"119 33rd Street West, Saskatoon, USA",,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Shillong Bike Rental,+91 87299 28509,"Nongrim Hills, Shillong, USA",Shillong Bike Rental,,"Nongrim Hills, Shillong, Meghalaya 793003, India",Yes,Yes,No,1.0,0.75,0.0,SUCCESS - Name & Address match (Phone missing/different)
TITANIC Museum Attraction,+1 417-334-9500,"2134 Parkway, Pigeon Forge, USA",Titanic Museum Attraction,(417) 334-9500,"2134 Parkway, Pigeon Forge, TN 37863, USA",Yes,Yes,Yes,1.0,1.0,1.0,SUCCESS - All NAP data matches
Tiruchirappalli International Airport,+91 431 234 0554,"New Terminal Building, Tiruchirappalli, USA",Tiruchirappalli International Airport (TRZ) Terminal Building,,"QP57+GFV, Thirunagar, Tiruchirappalli, Tamil Nadu 620007, India",Yes,No,No,0.771,0.5,0.0,PARTIAL - Only Name matches
John D Wood & Co. Estate Agents Fulham Broadway,+44 20 3151 4134,"506 Fulham Road, London, USA",John D Wood & Co. Estate Agents Fulham Broadway,020 3151 4134,"506 Fulham Rd., London SW6 5NJ, UK",Yes,No,Yes,1.0,0.772,1.0,PARTIAL - Name & Phone match (Address different)
Books Are Magic,+1 718-246-2665,"225 Smith Street, Brooklyn, USA",Books Are Magic,(718) 246-2665,"225 Smith St, Brooklyn, NY 11231, USA",Yes,Yes,Yes,1.0,0.8,1.0,SUCCESS - All NAP data matches
KFC Yum! Center,+1 502-690-9000,"1 Arena Plaza, Louisville, USA",KFC Yum! Center,(502) 690-9000,"1 Arena Plaza, Louisville, KY 40202, USA",Yes,Yes,Yes,1.0,0.862,1.0,SUCCESS - All NAP data matches
"ZUDIO - Guduvanchery, Chennai",+91 88380 55120,"V326+4QW, 7, Grand Southern Trunk Rd, Guduvancheri, Chennai, USA","ZUDIO - Guduvanchery, Chennai",088380 55120,"V326+4QW, 7, Grand Southern Trunk Rd, Nandivaram, Guduvancheri, Chennai, Tamil Nadu 603202, India",Yes,Yes,Yes,1.0,0.779,1.0,SUCCESS - All NAP data matches
Assam Roofing Private Limited,7002279661,"Birkuchi, Guwahati, USA",Assam Roofing Private Limited,070022 79661,"Birkuchi, Narengi Tinali, Guwahati, Assam 781026, India",Yes,No,Yes,1.0,0.667,1.0,PARTIAL - Name & Phone match (Address different)
ash test,nan,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Engineered Air LLC,8668839073,"2520 N Andrews Avenue Ext, Pompano Beach, USA","Engineered Air, LLC",(866) 883-9073,"2520 N Andrews Ave Ext, Pompano Beach, FL 33064, USA",Yes,Yes,Yes,1.0,0.87,1.0,SUCCESS - All NAP data matches
"Del- Air Heating, Air Conditioning & Refrigeration, LLC",8888312665,"1000 Business Center Dr, Lake Mary, USA","Del-Air Heating, Air Conditioning, Plumbing and Electrical",(407) 995-6786,"1000 Business Center Dr, Lake Mary, FL 32746, USA",No,Yes,No,0.717,0.892,0.0,FAIL - Significant NAP inconsistencies
Flourishing Family testpractic,+1 732-583-0600,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Limitless Spine and Joint Care (Formerly Sadon testpractic & Rehabilitation Center),+1 732-574-2228,USA,Limitless Spine and Joint Care (Formerly Sadon Chiropractic & Rehabilitation Center),(732) 972-6010,"186 County Rte 520 #1, Morganville, NJ 07751, USA",Yes,Yes,No,0.943,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
New York testpractic Life Center,+1 732-462-0049,USA,Life Center Church NYC / JHOP NYC,,"75 Maiden Ln, New York, NY 10038, USA",No,Yes,No,0.349,1.0,0.0,FAIL - Significant NAP inconsistencies
testpractic Wellness & Rehab Clinic,+1 732-583-0600,USA,American Wellness & Rehab Clinic,(801) 327-8700,"677 W 5300 S, Murray, UT 84123, USA",Yes,Yes,No,0.825,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
testpractic Orthopedic Associates,+1 732-462-6687,USA,Orthopaedic Associates USA,(954) 476-8800,"350 N Pine Island Rd # 200, Plantation, FL 33324, USA",No,Yes,No,0.712,1.0,0.0,FAIL - Significant NAP inconsistencies
"ACTL Group, LLC",7862291297,"2123 W 76th St, Hialeah, USA",ACTL GROUP AIR CONDITIONING,(786) 229-1297,"2123 W 76th St, Hialeah, FL 33016, USA",No,Yes,Yes,0.585,0.852,1.0,PARTIAL - Address & Phone match (Name different)
Murray testpractic,+1 732-574-2229,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Village Family test LLC: Fedich James R DC,+1 732-462-6688,USA,Village Family Chiro LLC: Fedich James R DC,(908) 813-8200,"1500 County Rd 517 Suite 105, Allamuchy Township, NJ 07820, USA",Yes,Yes,No,0.892,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Natural Health test Center,+1 732-634-5155,USA,Ethnic Health Care Siddha Natural Fertility & General Clinic Chennai,044 2433 5222,"#28A/19A/2 Mylai Ranganathan Street, Thanikachalam Rd, near Nadesan Park, T. Nagar, Chennai, Tamil Nadu 600017, India",No,No,No,0.239,0.036,0.0,FAIL - Significant NAP inconsistencies
Solutions testpractic,+1 609-083-5376,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
K-Restaurant,3062215792,"1301 Dredge Place, Wasilla, USA",The K Food,(907) 222-2563,"343 W Benson Blvd #3, Anchorage, AK 99503, USA",No,No,No,0.182,0.366,0.0,FAIL - Significant NAP inconsistencies
The Bardstown Bourbon Company,nan,USA,Bardstown Bourbon Company,(502) 233-4769,"1500 Parkway Dr, Bardstown, KY 40004, USA",Yes,Yes,No,0.926,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Unnameable Books,+1 718-789-1534,"615 Vanderbilt Avenue, USA",Unnameable Books,(718) 789-1534,"615 Vanderbilt Ave, Brooklyn, NY 11238, USA",Yes,Yes,Yes,1.0,0.75,1.0,SUCCESS - All NAP data matches
Dawn Esthetics,+1 719-600-8466,"4711 Opus Drive 200, Colorado Springs, USA",Dawn Esthetics,(719) 600-8466,"4711 Opus Dr #200, Colorado Springs, CO 80906, USA",Yes,Yes,Yes,1.0,0.86,1.0,SUCCESS - All NAP data matches
John D Wood & Co. Estate Agents Parsons Green,+44 20 3151 9498,"287 New Kings Road, London, USA",John D Wood & Co. Estate Agents Parsons Green,020 3151 9498,"287 New Kings Rd, London SW6 4RE, UK",Yes,No,Yes,1.0,0.794,1.0,PARTIAL - Name & Phone match (Address different)
Snapshots Lounge,+1 740-321-1391,"1320 Weaver Drive, Granville, USA",Snapshots Lounge,(740) 321-1391,"1320 Weaver Dr, Granville, OH 43023, USA",Yes,Yes,Yes,1.0,0.824,1.0,SUCCESS - All NAP data matches
Saskatoon Comets & District Female Hockey,+1 306-291-1686,"816 1st Avenue North, Saskatoon, USA",Saskatoon Comets & District Female Hockey,,"816 1st Ave N, Saskatoon, SK S7K 1Y3, Canada",Yes,No,No,1.0,0.693,0.0,PARTIAL - Only Name matches
Potato Chip Rock,+1 858-668-4772,"Ramona, Ramona, USA",Potato Chip Rock,(858) 668-4772,"Ramona, CA 92065, USA",Yes,Yes,Yes,1.0,1.0,1.0,SUCCESS - All NAP data matches
Baobab Fare,+1 313-265-3093,"6568 Woodward Ave Suite 100, Detroit, USA",Baobab Fare,(313) 265-3093,"6568 Woodward Ave Suite 100, Detroit, MI 48202, USA",Yes,Yes,Yes,1.0,1.0,1.0,SUCCESS - All NAP data matches
ash test,nan,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Nucor Steel Gallatin,+1 859-567-3100,"4831 U.S. 42, Ghent, USA",Nucor Steel Gallatin,(859) 567-3100,"4831 US-42, Ghent, KY 41045, USA",Yes,No,Yes,1.0,0.8,1.0,PARTIAL - Name & Phone match (Address different)
